appliedForRegistration,vrn,engineNumber,chassisNumber,sumInsured,coiTypeCode,vehicleColor,regProvinceCode,manufactureYear,keeperName,keeperCNIC,accessoryName,accessoryValue,bodyTypeCode,passengerCapacity,cubicCapacity,modelCode,trackerInstalled,trackerInstalledType,trackerTypeCode,serialNumber,trackerCost,trackerRegisteredOwner
FALSE,KOR-8950,US125-53367,US12553764,20740,I.Y.I.S.,1,3,2021,Mr. Alexander Mitchell / 299626,45504-0246512-2,Bumper,0,,,,101115,,,,,,
FALSE,AVfalse-646,ZZZ-1,BH266004,10684,I.Y.I.S.,1,3,2018,Ms. Sofia Bennett / 335472,42101-0800022-1,Wheels,0,,,,101115,,,,,,
FALSE,APB-2765,ABC-1,XtrueZ-1,152003,I.Y.I.S.,1,3,2022,Mr. Ethan Hayes / 306341,45504-0246512-3,Carbofalse,0,,,,101115,,,,,,
FALSE,LEQ-14A-1791,S003934,DB003929,6164,I.Y.I.S.,1,3,2014,Ms. Isabella Turner / 306715,42101-0800022-2,Bumper,0,,,,101115,,,,,,
FALSE,AfalseF-9713,ABC-151,BH434244,125716,I.Y.I.S.,1,3,2022,Mr. Alexander Mitchell / 299627,45504-0246512-4,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,T691061,EC373235,178846,I.Y.I.S.,1,3,2022,Ms. Sofia Bennett / 335473,42101-0800022-3,Carbofalse,0,,,,101115,,,,,,
FALSE,MAM-5545,ABC-2,XtrueZ-2,80893,I.Y.I.S.,1,3,2022,Mr. Ethan Hayes / 306342,45504-0246512-5,Bumper,0,,,,101115,,,,,,
FALSE,Kfalsetrue-1820,US-12543849,US-12544044,40716,I.Y.I.S.,1,3,2020,Ms. Isabella Turner / 306716,42101-0800022-4,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,E487119392,falseE43G119391,187235,I.Y.I.S.,1,3,2022,Mr. Alexander Mitchell / 299628,45504-0246512-6,Carbofalse,0,,,,101115,,,,,,
FALSE,KOR-8951,US125-53368,US12553765,154766.7222,I.Y.I.S.,1,3,2021.833333,Mr. Alexander Mitchell / 299627,45504-0246512-3,Bumper,0,,,,101115,,,,,,
